Dept,Course,Last Name,Term,Year,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Course Workload,I would recommend this course,I attended class,Inspired to learn subject matter,Number Invited,Number of Survey Responses,Course Code
FGI,Italian for Beginners ITA100Y5YLEC0103,Grimaldi,Winter,2020,45,48,49,47,49,48,25,47,,45,41,15,ITA100Y5
HISCL,Religion and Violence RLG316H5SLEC0101,Heckman,Winter,2020,45,44,49,45,45,47,44,44,,44,37,11,RLG316H5
UMBIO,Selected Topics in Biology II BIO484H5SLEC0101,Braeutigam,Winter,2020,45,47,45,4,4,38,33,4,,42,13,6,BIO484H5
CHMPS,Rock Forming processes ERS203H5SLEC0101,Ashwell,Winter,2020,45,45,47,45,44,43,4,39,,41,32,15,ERS203H5
ENGDR,Poetry and Modernism ENG350H5SLEC0101,Bouvier,Winter,2020,45,45,43,42,42,38,31,42,,42,16,13,ENG350H5
UMPOL,Multicultural  Citizenship POL355Y5YLEC0101,Amani,Winter,2020,45,45,47,47,48,44,32,42,,42,47,20,POL355Y5
ENGDR,Modern  Cntmpr Theatre  Dra DRE122H5SLEC0101,GallagherRoss,Winter,2020,45,46,47,44,44,44,29,44,,43,46,21,DRE122H5
MCS,Experimental Design STA305H5SLEC0102,Al Labadi,Winter,2020,45,45,47,45,46,43,31,47,,44,74,15,STA305H5
ANTRL,Forensic Anatomy FSC316H5SLEC0101,Watamaniuk,Winter,2020,45,48,46,42,36,35,41,34,,37,19,10,FSC316H5
UMSOC,Gender  Crime and Justice SOC219H5SLEC0101,Schumann,Winter,2020,45,46,47,43,44,44,31,44,,44,190,59,SOC219H5
HISCL,Gender  Race  and Surveillance WGS351H5SLEC0101,Charles,Winter,2020,45,45,46,44,43,42,3,44,,43,36,22,WGS351H5
ANTRL,Global  Changing Work World ANT350H5SLEC0101,Muehlebach,Winter,2020,45,46,47,46,46,46,29,46,,42,43,18,ANT350H5
FGI,Intermediate Spanish SPA220Y5YLEC0101,Bijos,Winter,2020,45,47,45,46,47,43,36,41,,44,32,10,SPA220Y5
UMPSY,Interpersonal Relationships PSY327H5SLEC0101,Impett,Winter,2020,45,48,45,41,43,42,32,44,,44,74,23,PSY327H5
MCS,Intr Neu Ntwrk  Mchn Learn CSC321H5SLEC0102,Zhang,Winter,2020,45,41,41,41,38,38,42,35,,38,65,22,CSC321H5
UMBIO,Animal Behaviour BIO318Y5YLEC0101,Murray,Winter,2020,45,43,46,42,46,46,32,42,,41,47,14,BIO318Y5
ANTRL,Bio Ant Prim  palaeoanthro ANT203H5SLEC0101,Schroeder,Winter,2020,45,46,47,45,44,44,29,45,,4,143,36,ANT203H5
UMPHL,Continental Philosophy PHL324H5SLEC0101,Larsen,Winter,2020,45,44,47,44,45,44,32,44,,42,48,21,PHL324H5
ICC,Special Topics in Writing WRI490H5FLEC0101,Price,Summer,2020,45,47,45,45,47,43,34,44,,43,23,15,WRI490H5
UMPSY,Human Memory World within Mind PSY372H5SLEC0101,Fukuda,Summer,2020,45,47,48,44,43,42,38,38,,42,50,12,PSY372H5
FGI,Contrastive Linguistics LIN310H5SLEC0101,Godfrey,Summer,2020,45,45,43,45,45,4,33,42,,4,46,6,LIN310H5
FGI,Functional FRE  Adv Beginner FSL106H5SLEC0101,Farsandaj,Summer,2020,45,47,47,43,45,4,32,43,,47,15,6,FSL106H5
ICC,Career Strategies CCT473H5SLEC0101,CarverDias,Summer,2020,45,45,49,46,45,44,25,48,,45,38,8,CCT473H5
FGI,Advanced High Chinese I CHI301H5SLEC0201,Chen,Summer,2020,45,46,46,44,44,42,27,43,,43,42,13,CHI301H5
FGI,Spanish for Beginners SPA100Y5YLEC0101,Bijos,Summer,2020,45,46,48,47,48,44,34,45,,42,32,14,SPA100Y5
UMVIS,Taiwan New Wave in Our Time CIN305H5FLEC9101,Wijaya,Fall,2020,45,47,47,43,45,41,28,47,,43,47,17,CIN305H5
ICC,Science and Writing WRI307H5FLEC9101,Allen,Fall,2020,45,46,48,45,46,45,4,42,,39,29,25,WRI307H5
ICC,Expressive Writing WRI203H5FLEC0102,Allen,Summer,2020,45,46,46,46,46,44,36,43,,44,34,30,WRI203H5
FGI,Wisdom Life Trad Chinese Cultu CHI313H5FLEC9101,Chen,Fall,2020,45,45,47,47,47,45,28,43,,38,49,19,CHI313H5
ERIN,Wrtng Univ  Beyond Wrtng ISP100H5FLEC9102,Seeley,Fall,2020,45,45,47,43,48,45,3,45,,42,9,6,ISP100H5
UMVIS,Top in Modern Art/Architecture FAH392H5FLEC9101,Syme,Fall,2020,45,48,49,48,48,48,34,48,,48,34,20,FAH392H5
UMSOC,The Legal Profession SOC357H5FLEC9101,Liu,Fall,2020,45,46,45,46,46,43,36,41,,4,44,11,SOC357H5
MCS,The Practice of Statistics I STA220H5FLEC9101,Aslemand,Fall,2020,45,45,47,44,45,44,33,45,,44,53,17,STA220H5
HISCL,Theories of Masculinity WGS353H5FLEC9101,May,Fall,2020,45,48,48,46,47,43,32,43,,44,36,16,WGS353H5
MCS,Intro to Machine Learning CSC311H5FLEC9102,Bonner,Fall,2020,45,46,33,43,4,34,43,37,,37,61,21,CSC311H5
CHMPS,Intro to Scientific Computing JCP265H5FLEC9101,Rauscher,Fall,2020,45,47,47,46,45,44,35,43,,41,33,15,JCP265H5
UMMGT,Marketing Consulting MGT455H5FPRA9101,Osborne,Fall,2020,45,45,48,45,46,46,39,45,,45,28,8,MGT455H5
FGI,Introductory Latin I LAT211H5FLEC9101,Revermann,Fall,2020,45,48,44,43,46,41,33,37,,42,14,11,LAT211H5
CHMPS,Quantum Mechanics I Foundation JCP321H5FLEC9101,Fernandes,Fall,2020,45,47,47,45,44,44,32,42,,42,34,15,JCP321H5
HISCL,Nationalism in Mod South Asia HIS382H5FLEC9101,Kasturi,Fall,2020,45,48,47,47,45,43,33,42,,43,21,6,HIS382H5
UMBIO,Human Development BIO380H5FLEC9101,Erclik,Fall,2020,45,46,45,4,4,39,34,39,,41,341,104,BIO380H5
FGI,Indigenous Education EDS250H5FLEC9101,Neepin,Fall,2020,45,49,45,46,47,45,31,46,,46,34,13,EDS250H5
ICC,Information Visualization CCT470H5FPRA9101,Szigeti,Fall,2020,45,45,48,46,48,44,32,47,,43,19,10,CCT470H5
ANTRL,Int to Anthro of Health ANT220H5FLEC9101,Mant,Fall,2020,45,45,48,44,44,44,32,45,,42,102,51,ANT220H5
HISCL,Int to Women  Gender Studies WGS101H5FLEC9101,Kuhn,Fall,2020,45,47,47,44,45,44,29,46,,44,188,66,WGS101H5
MCS,Fundamentals of Robotics CSC376H5FLEC9101,BurgnerKahrs,Fall,2020,45,45,45,43,43,41,34,38,,42,26,12,CSC376H5
MCS,Groups and Symmetries MAT301H5FLEC9102,Mousavidehshikh,Fall,2020,45,43,45,39,41,38,31,36,,34,77,12,MAT301H5
ICC,Comm in a World of Data WRI363H5FLEC9101,Maddalena,Fall,2020,45,46,49,46,48,45,27,45,,45,29,10,WRI363H5
UMGGR,Cities in Transition GGR349H5FLEC9101,Walks,Fall,2020,45,45,47,45,47,44,29,46,,44,64,16,GGR349H5
UMMGT,Can Income Tax 1 MGT423H5FLEC9101,Iqbal,Fall,2020,45,46,44,45,45,4,35,4,,41,51,24,MGT423H5
UMPOL,Can Comp Perspective POL111H5FLEC8101,Pond,Fall,2020,45,48,48,42,4,46,24,46,,46,23,5,POL111H5
MCS,Calculus of Several Variables MAT232H5FLEC9103,Burazin,Fall,2020,45,46,47,43,45,43,35,37,,31,109,19,MAT232H5
UMSOC,Advanced Topics in Sociology SOC445H5FLEC9101,Kahil,Fall,2020,45,45,47,47,47,43,31,43,,44,32,15,SOC445H5
HISCL,US History  1877present HIS272H5SLEC9101,Toffoli,Winter,2021,45,48,47,45,44,46,32,45,,45,41,14,HIS272H5
CHMPS,Volcanology Geothermal Systems ERS404H5SPRA9101,Ashwell,Winter,2021,45,48,48,43,43,45,33,47,,48,15,6,ERS404H5
UMECO,Special Topics in Economics ECO351H5SLEC9101,Vellekoop,Winter,2021,45,46,46,46,46,43,3,45,,45,48,20,ECO351H5
ENGDR,Sp Topic in American Lit ENG366H5SLEC9101,Gniadek,Winter,2021,45,45,49,46,47,47,36,45,,45,32,17,ENG366H5
MCS,Soft Tools  Sys Prog CSC209H5SLEC9102,Zingaro,Winter,2021,45,46,46,45,42,39,34,42,,4,112,30,CSC209H5
CHMPS,Separations  Chromatography CHM416H5SLEC9101,Piunno,Winter,2021,45,46,46,45,41,41,31,41,,41,20,8,CHM416H5
ICC,Science and Writing WRI307H5SLEC9101,Maddalena,Winter,2021,45,45,49,46,47,45,29,45,,42,29,13,WRI307H5
HISCL,Reel Religion RLG332H5SLEC9101,Derry,Winter,2021,45,46,48,47,46,46,32,46,,42,58,18,RLG332H5
CHMPS,Quantum Mechanics II App JCP421H5SLEC9101,Nino,Winter,2021,45,44,44,46,42,41,41,35,,38,36,20,JCP421H5
UMVIS,Topics in Cinema Studies CIN302H5SLEC9101,Gyenge,Winter,2021,45,46,46,45,45,44,34,44,,41,46,15,CIN302H5
ANTRL,Special Topics in Forensic Sci FSC350H5SLEC9101,Fraser,Winter,2021,45,48,45,42,43,43,25,45,,45,49,31,FSC350H5
ANTRL,Special Topics in Forensic Sci FSC350H5SLEC9101,McLean,Winter,2021,45,48,45,42,43,43,25,45,,45,49,31,FSC350H5
ENGDR,Spy Fiction ENG344H5SLEC9101,Greene,Winter,2021,45,48,49,49,48,48,33,48,,46,34,9,ENG344H5
ICC,Journalistic Investig WRI430H5SLEC9101,Topouzova,Winter,2021,45,44,45,42,44,43,32,44,,42,23,20,WRI430H5
ANTRL,Lab Methods in Biol Anthropol ANT338H5SLEC9101,Mant,Winter,2021,45,47,5,48,46,47,31,45,,45,34,11,ANT338H5
MCS,Intro to Image Understanding CSC420H5SLEC9101,Fidler,Winter,2021,45,47,45,46,47,44,39,4,,43,49,11,CSC420H5
HISCL,Intro Euro History 13001815 HIS230H5SLEC9101,Cowan,Winter,2021,45,46,47,43,44,43,34,45,,43,49,18,HIS230H5
ENGDR,Introduction to Shakespeare ENG223H5SLEC9101,Syme,Winter,2021,45,45,47,45,45,43,29,47,,42,36,13,ENG223H5
ENGDR,Lit of Immigration and Exile ENG273H5SLEC9101,Laughlin,Winter,2021,45,45,46,44,49,41,32,42,,44,36,14,ENG273H5
CHMPS,Magmatic Sys  Igneous Petrolo ERS203H5SLEC9101,Ashwell,Winter,2021,45,45,46,42,41,42,38,4,,41,33,13,ERS203H5
ICC,Media Audiences CCT381H5SLEC9101,Peden,Winter,2021,45,43,48,48,48,43,3,45,,42,27,6,CCT381H5
FGI,Overseas Chinese Lit  Culture CHI312H5SLEC9101,Ma,Winter,2021,45,45,45,42,42,42,3,43,,42,43,7,CHI312H5
ICC,Documentary Practices CCT454H5SLEC9101,Topouzova,Winter,2021,45,47,47,47,48,43,37,45,,43,7,6,CCT454H5
ANTRL,Fant Hoax  Misrep Ancient Wor ANT210H5SLEC9101,Dorland,Winter,2021,45,45,46,43,45,43,28,45,,42,164,51,ANT210H5
MCS,Experimental Design STA305H5SLEC9101,Al Labadi,Winter,2021,45,45,47,45,45,45,3,44,,45,90,20,STA305H5
UMPHL,Epistemology PHL333H5SLEC9101,Nagel,Winter,2021,45,46,47,43,43,42,34,39,,39,59,15,PHL333H5
FGI,Eng Words thrgh Space and Time LIN233H5SLEC9101,Taniguchi,Winter,2021,45,48,48,47,49,49,29,48,,46,98,12,LIN233H5
ICC,Enterprise Risk Management MGD426H5SLEC9101,Francis,Winter,2021,45,47,48,47,46,47,31,44,,43,44,17,MGD426H5
HISCL,Classical Greece CLA361H5SLEC9101,Easton,Winter,2021,45,45,43,46,44,43,28,43,,44,16,10,CLA361H5
ENGDR,Comics and the Graphic Novel ENG235H5SLEC9101,Scoville,Winter,2021,45,46,49,43,44,44,28,48,,48,58,17,ENG235H5
CHMPS,Inorg Chem IIAdvanced CHM331H5SLEC9101,Fekl,Winter,2021,45,43,43,43,44,42,29,41,,38,43,11,CHM331H5
FGI,Fre Lan thrg Space and Time II FRE373H5SLEC9101,Abdelrazak,Winter,2021,45,47,47,47,47,45,28,45,,39,26,11,FRE373H5
UMPOL,Gender and Politics POL368H5SLEC9101,Amani,Winter,2021,45,46,48,45,45,45,32,46,,45,77,51,POL368H5
UMECO,Foundations of Econometrics ECO227Y5YLEC9101,Gu,Winter,2021,45,41,39,41,37,37,35,38,,37,30,12,ECO227Y5
UMMGT,Intro to Market Mgmt MGT353H5FLEC0101,Parhar,Fall,2016,45,45,45,47,46,43,3,42,,42,52,24,MGT353H5
UMBIO,Freshwater Ecology BIO333H5FLEC0101,McCauley,Fall,2016,45,47,47,42,44,47,33,45,,45,30,13,BIO333H5
UMBIO,Molecular  Cell Physiology BIO411H5FLEC0101,Cheng,Fall,2016,45,45,44,47,46,43,32,46,,46,17,11,BIO411H5
UMECO,Special Topics in Economics ECO352H5FLEC0101,Wolthoff,Fall,2016,45,47,5,48,48,45,32,4,,41,24,13,ECO352H5
MCS,Intro to Number Theory MAT315H5FLEC0101,Shankar,Fall,2016,45,45,46,48,44,45,29,44,,41,26,8,MAT315H5
UMPSY,Abnormal Psy Adult Disorders PSY340H5FLEC0101,Morgan,Fall,2016,45,45,45,37,38,4,32,41,,42,70,23,PSY340H5
UMPSY,Neuroplasticity and Behaviour PSY397H5FLEC0101,Gerlai,Fall,2016,45,44,46,39,39,39,33,38,,39,94,47,PSY397H5
UMSOC,Criminal Justice  Inequality SOC322H5FLEC0101,OwusuBempah,Fall,2016,45,46,47,43,43,45,3,46,,43,57,19,SOC322H5
UMSOC,Sociology of Food SOC349H5FLEC0101,Johnston,Fall,2016,45,45,46,43,43,42,33,44,,43,54,18,SOC349H5
FGI,Functional FRE  Adv Beginner FSL106H5FLEC0101,Hong Kim,Fall,2016,45,45,49,44,44,42,3,45,,49,19,13,FSL106H5
HISCL,Intro Roman Culture  Society CLA233H5FLEC0101,Fulton,Fall,2016,45,47,48,42,41,43,3,42,,4,44,23,CLA233H5
MCS,Intro to Mathem Proofs MAT102H5FLEC0101,Holden,Fall,2016,45,43,48,41,41,4,37,34,,37,124,68,MAT102H5
ICC,Enterprise Risk Management MGD426H5FLEC0101,Richardson,Fall,2016,45,43,49,48,48,43,28,47,,45,54,18,MGD426H5
ICC,Gender Media and Technology CCT340H5FLEC0101,Sharma,Fall,2016,45,44,46,4,42,43,31,44,,41,69,37,CCT340H5
ERIN,Building Global Justice UTM196H5FLEC0101,Laliberte,Fall,2016,45,46,45,41,43,4,39,38,,4,30,25,UTM196H5
ENGDR,Early Drama ENG330H5FLEC0101,Blake,Fall,2016,45,48,48,44,46,45,34,42,,41,24,21,ENG330H5
ENGDR,Literature and Environment ENG259H5FLEC0101,Laughlin,Fall,2016,45,45,43,44,45,41,34,41,,39,30,15,ENG259H5
CHMPS,Sedimentology ERS313H5FLEC0101,Laflamme,Fall,2016,45,47,48,43,43,43,32,43,,43,22,12,ERS313H5
CHMPS,Quantum MechanicsIntro JCP321H5FLEC0101,McMillen,Fall,2016,45,44,47,41,41,4,3,41,,43,41,23,JCP321H5
ICC,Special Topics in Writing WRI490H5SLEC0101,Maharajh,Winter,2017,45,45,47,42,46,44,34,48,,47,25,14,WRI490H5
ICC,Making a Book WRI420H5SLEC0101,Allen,Winter,2017,45,44,44,44,45,44,43,45,,48,20,15,WRI420H5
ICC,Crit Reading Listening WRI340H5SLEC0101,Dittrich,Winter,2017,45,41,42,43,45,41,31,39,,41,29,15,WRI340H5
ICC,Finance and Writing WRI360H5SLEC0101,Allen,Winter,2017,45,45,48,46,46,43,36,43,,42,29,27,WRI360H5
UMSOC,Seminar  Sociology of CultureSOC416H5SLEC0101,Johnston,Winter,2017,45,49,49,45,45,46,39,41,,43,19,9,SOC416H5
FGI,Intermediate Spanish SPA220Y5YLEC0101,VictorianoMartinez,Winter,2017,45,45,43,42,43,41,29,4,,46,33,11,SPA220Y5
UMPOL,Multicultural  Citizenship POL355Y5YLEC0101,Amani,Winter,2017,45,46,49,44,45,44,32,46,,44,53,34,POL355Y5
UMPSY,Intro Psychology PSY100Y5YPRA0111,Graham,Winter,2017,45,42,45,42,45,42,27,42,,43,31,7,PSY100Y5
UMPSY,Intro to Devel Psychology PSY210H5SLEC0101,PaquetteSmith,Winter,2017,45,46,46,41,41,42,32,43,,4,254,100,PSY210H5
HISCL,Adv Topics Rlg Media CultureRLG411H5SLEC0101,Scott,Winter,2017,45,44,48,46,46,44,37,42,,38,17,11,RLG411H5
UMSOC,Deviance  Control SOC211H5SLEC0101,Klassen,Winter,2017,45,45,44,43,44,42,3,43,,39,178,49,SOC211H5
UMSOC,Special Topics in Sociology SOC345H5SLEC0101,Baker,Winter,2017,45,45,45,45,45,42,3,46,,43,53,16,SOC345H5
MCS,Calculus MAT137Y5YLEC0102,Holden,Winter,2017,45,47,48,43,43,43,39,38,,39,50,27,MAT137Y5
MCS,Intro Algebraic Cryptography MAT302H5SLEC0101,Foo,Winter,2017,45,42,38,42,4,43,25,47,,38,24,6,MAT302H5
MCS,Introduction to Real Analysis MAT378H5SLEC0102,Rennet,Winter,2017,45,45,45,4,43,42,37,37,,38,33,6,MAT378H5
HISCL,Lifecycle MedEarly Mod EuropeHIS409H5SLEC0101,Cowan,Winter,2017,45,44,5,43,46,41,31,43,,41,17,8,HIS409H5
ENGDR,Crit Approaches to Literature ENG280H5SLEC0101,Elam,Winter,2017,45,47,45,41,44,43,33,4,,41,36,15,ENG280H5
ENGDR,Brit LitVictorian to ContempENG203Y5YLEC0101,KoenigWoodyard,Winter,2017,45,43,49,41,44,43,29,44,,43,17,8,ENG203Y5
ENGDR,Rhetoric ENG205H5SLEC0101,Scoville,Winter,2017,45,47,48,46,46,46,28,46,,42,62,24,ENG205H5
UMECO,The Econ of Cities  Regions ECO439Y5YLEC0101,Serafinelli,Winter,2017,45,45,5,47,45,47,28,45,,48,14,6,ECO439Y5
MCS,Comput Complex  Comput CSC363H5SLEC0101,Rosenbloom,Winter,2017,45,44,43,4,4,39,38,33,,39,46,13,CSC363H5
ANTRL,Ethics Professionalism in FSCFSC271H5SLEC0101,Woodall,Winter,2017,45,47,46,41,43,46,24,44,,43,80,55,FSC271H5
FGI,Functional FRE  Adv BeginnerFSL106H5SLEC0102,Farsandaj,Winter,2017,45,44,46,44,43,43,31,41,,44,40,22,FSL106H5
FGI,Introductory German 1 GER100Y5YLEC0101,Schafer,Winter,2017,45,49,48,49,48,48,32,45,,47,28,10,GER100Y5
CHMPS,Dynamic Earth ERS202H5SLEC0101,Schoenbohm,Winter,2017,45,44,48,43,44,42,37,4,,46,37,14,ERS202H5
ICC,Introduction to Surveillance CCT365H5SLEC0101,Phillips,Winter,2017,45,45,43,41,41,43,35,4,,43,31,9,CCT365H5
ICC,Marketing Info ProdServ CCT322H5SLEC0101,Richardson,Winter,2017,45,46,44,45,46,42,28,45,,44,88,17,CCT322H5
ICC,Rep in Language Mind and Art CCT314H5SLEC0101,Maharajh,Winter,2017,45,44,47,45,44,44,31,44,,43,57,14,CCT314H5
UMBIO,Microbial Ecology BIO373H5SLEC0101,Short,Winter,2017,45,44,48,42,41,43,38,4,,42,25,12,BIO373H5
UMBIO,Topics in Neurobiology BIO403H5SLEC0101,Erclik,Winter,2017,45,48,48,45,46,45,34,43,,41,24,8,BIO403H5
HISCL,Augustus  the JulioClaudiansCLA368H5SLEC0101,Bendlin,Winter,2017,45,46,45,43,42,43,29,44,,42,27,13,CLA368H5
FGI,Advanced Chinese CHI301Y5YLEC0101,Chen,Winter,2017,45,47,49,47,47,47,29,45,,43,45,30,CHI301Y5
UMPSY,Intro Psychology PSY100Y5FLEC0101,Urbszat,Summer,2017,45,46,47,38,37,4,4,38,,43,74,31,PSY100Y5
UMVIS,Topics in Cinema Studies CIN290H5FLEC0101,Bergstrom,Summer,2017,45,45,44,45,44,43,3,39,,43,27,8,CIN290H5
FGI,Intermediate Arabic ARA311H5SLEC0101,Elrefaei,Winter,2017,45,46,49,45,46,44,28,43,,44,32,21,ARA311H5
ANTRL,Faunal ArchaeoOsteology ANT415H5SPRA0101,Brand,Winter,2017,45,48,5,44,41,41,33,43,,38,20,8,ANT415H5
UMBIO,Animal Behaviour BIO318Y5YLEC0101,Gwynne,Winter,2017,45,42,44,41,39,41,36,44,,41,37,15,BIO318Y5
UMGGR,The Sustainability Imperative ENV310H5FLEC0101,Murck,Fall,2017,45,45,45,46,46,44,32,45,,45,63,24,ENV310H5
UMSOC,Sociology of Law and Lawyers SOC475H5FLEC0101,Dinovitzer,Fall,2017,45,49,47,43,41,43,37,42,,44,41,11,SOC475H5
MCS,Software Design CSC207H5FLEC0102,Zhang,Fall,2017,45,46,43,45,43,41,36,41,,45,122,43,CSC207H5
ENGDR,Sp Topic 19th Century Brit Lit ENG315H5FLEC0101,White,Fall,2017,45,46,43,39,39,4,31,4,,41,28,22,ENG315H5
UMPSY,Sp Topic Abnormal Psy PSY440H5FLEC0101,Urbszat,Fall,2017,45,41,45,44,45,4,28,45,,44,20,10,PSY440H5
ENGDR,Sp Topic in American Lit ENG366H5FLEC0101,Gniadek,Fall,2017,45,45,5,43,42,42,37,43,,41,15,14,ENG366H5
ENGDR,Video Games ENG279H5FLEC0101,OFlynn,Summer,2017,45,47,48,44,45,45,3,46,,45,52,24,ENG279H5
HISCL,Intro to Islam and Muslim Civ RLG204H5SLEC0101,Haghighi,Summer,2017,45,46,45,43,43,42,32,43,,42,66,41,RLG204H5
ENGDR,The Short Story ENG213H5SLEC0101,Janes,Summer,2017,45,47,49,43,44,44,3,44,,43,38,18,ENG213H5
ICC,Special Topics in Writing WRI490H5SLEC0101,Price,Summer,2017,45,45,46,44,45,43,41,44,,43,20,15,WRI490H5
UMSOC,Gender Politics and Society SOC380H5SLEC0101,Laxer,Summer,2017,45,48,48,41,41,4,34,4,,41,30,18,SOC380H5
UMPSY,Human Neuropsychology PSY393H5SLEC0101,Jeffay,Summer,2017,45,46,47,36,36,41,37,39,,42,55,33,PSY393H5
ENGDR,Feminist Approaches to Lit ENG275H5SLEC0101,Feldman,Summer,2017,45,47,48,43,44,43,36,45,,42,17,13,ENG275H5
UMVIS,Topics in Cinema Studies CIN301H5FLEC0101,Stoddard,Fall,2017,45,48,46,43,44,45,29,46,,45,49,14,CIN301H5
HISCL,Topics Women  Gender Studies WGS337H5FLEC0101,Charles,Fall,2017,45,47,45,42,43,41,31,44,,43,40,31,WGS337H5
HISCL,Intro to Indigenous Traditions RLG209H5FLEC0101,Morgan,Fall,2017,45,46,45,43,45,43,34,44,,45,31,12,RLG209H5
UMMGT,Intro to Market Mgmt MGT353H5FLEC0101,Parhar,Fall,2017,45,47,48,46,47,45,33,45,,44,53,25,MGT353H5
MCS,Intro to Mathem Proofs MAT102H5FLEC0103,Madill,Fall,2017,45,45,49,43,43,41,35,36,,37,122,76,MAT102H5
FGI,Introductory Arabic ARA211H5FLEC0101,Elrefaei,Fall,2017,45,49,5,49,49,46,27,49,,48,16,13,ARA211H5
FGI,Introductory German 1 GER100Y5YLEC0201,Soldovieri,Fall,2017,45,48,45,43,44,44,29,39,,46,27,8,GER100Y5
UMBIO,Invertebrate Neurobiology BIO404H5FLEC0101,Senatore,Fall,2017,45,47,49,39,4,41,35,4,,4,23,11,BIO404H5
ICC,Expressive Writing WRI203H5FLEC0104,Currie,Fall,2017,45,45,48,43,4,45,33,45,,42,20,6,WRI203H5
CHMPS,Chemical Synthesis Lab I CHM394H5FPRA0101,Strautmanis,Fall,2017,45,42,43,42,38,34,37,37,,4,16,6,CHM394H5
UMSOC,Classical Sociological Theory SOC231H5FLEC0101,Hoffman,Fall,2017,45,44,47,43,42,41,32,41,,37,46,19,SOC231H5
UMMGT,Financial Market Trading MGT435H5FLEC0102,Park,Fall,2017,45,46,45,44,44,43,34,41,,44,30,16,MGT435H5
UMMGT,Financial Management MGT433H5FLEC0101,Florence,Fall,2017,45,45,45,46,44,43,32,45,,42,17,10,MGT433H5
UMPSY,Forensic Psychology PSY344H5FLEC0101,Urbszat,Fall,2017,45,46,45,41,41,41,31,44,,42,123,43,PSY344H5
FGI,Functional FrenchNovice FSL105H5FLEC0401,Farsandaj,Fall,2017,45,47,49,46,46,47,29,43,,43,33,22,FSL105H5
UMSOC,Gender Crime and Justice SOC219H5FLEC0101,Klassen,Fall,2017,45,45,45,41,42,42,3,42,,41,172,46,SOC219H5
UMPSY,Human Memory PSY372H5FLEC0101,Fukuda,Fall,2017,45,45,47,43,44,44,35,45,,42,52,35,PSY372H5
UMBIO,Intro EvolutionEvolGenetics BIO152H5FLEC0101,Banerjee,Summer,2022,446,438,485,423,392,408,331,446,,415,32,13,BIO152H5
UMECO,Money Banking  Fin Mark ECO349H5FLEC0101,Zhao,Summer,2022,443,464,471,464,464,436,321,45,,429,95,14,ECO349H5
UMSOC,Identity Crime SOC423H5FLEC0101,Innocente,Summer,2022,443,443,471,414,414,4,3,371,,414,34,7,SOC423H5
UMPSY,Psyc of Intimate Relationships PSY327H5FLEC0101,Impett,Summer,2022,442,467,45,427,442,433,308,442,,408,54,12,PSY327H5
ANTRL,Tech of Crime Scene Invest FSC303H5FLEC0101,Piekny,Summer,2022,44,4,42,36,36,28,32,32,,38,21,5,FSC303H5
UMPSY,Introduction to Neuroscience PSY290H5FLEC0101,Beston,Summer,2022,44,455,465,38,405,42,315,405,,435,51,20,PSY290H5
UMPHL,Feminism PHL267H5SLEC0101,Manson,Summer,2022,44,43,4,4,41,36,35,38,,39,41,8,PHL267H5
UMPOL,Contemp Challenges Internl Rel POL210H5SLEC0101,Yaniszewski,Summer,2022,44,45,45,42,42,4,33,39,,4,31,13,POL210H5
UMPSY,Cognition Machinery of Mind PSY270H5SLEC0101,Fukuda,Summer,2022,44,46,47,43,43,42,32,42,,42,56,18,PSY270H5
MCS,Calculus of Several Variables MAT232H5YLEC0101,Richards,Summer,2022,44,44,45,44,43,41,3,41,,41,90,16,MAT232H5
UMPOL,Can Comp Perspective POL111H5SLEC0101,Pond,Summer,2022,44,45,43,42,42,39,3,45,,42,75,10,POL111H5
ICC,Communicating In  Betwn Org CCT303H5FLEC0101,Thung,Summer,2022,44,45,5,45,475,44,3,45,,45,47,5,CCT303H5
FGI,Wisdom Life Trad Chinese Cultu CHI313H5FLEC0101,Chen,Fall,2022,44,45,47,47,46,44,26,47,,44,30,19,CHI313H5
UMMGT,Big Data  Marketing Analysis MGT458H5S PRA9101,Trippen,Winter,2022,44,45,45,45,44,4,34,36,,41,35,8,MGT458H5
CHMPS,Advances in Chem Bio CHM462H5SLEC9101,Shin,Winter,2022,44,42,42,36,38,38,32,36,,42,8,5,CHM462H5
UMBIO,Animal Behaviour BIO318Y5YLEC9101,Murray,Winter,2022,44,47,47,47,44,46,3,49,,49,45,8,BIO318Y5
IMI,MANAGERIAL ECONOMICS MGT1210HYLEC0101,Aivazian,Summer,2022,44,42,45,44,44,42,41,4,,45,40,12,
IMI,LEGAL ISSUESFORENSIC ACCOUNTG IFA1907HYLEC0101,Blackier,Summer,2022,44,44,4,39,41,4,42,43,,46,28,14,
UMPSY,Adolescence  Emerging Adult PSY310H5SLEC9101,Chung,Winter,2022,44,43,49,41,44,46,32,43,,43,96,17,PSY310H5
UMPSY,Human Neuropsychology PSY393H5SLEC0101,Steininger,Summer,2022,44,43,42,36,39,37,36,32,,34,24,9,PSY393H5
MCS,Intro to Mathem Proofs MAT102H5YLEC0101,Wang,Summer,2022,44,43,47,44,44,41,36,3,,35,78,35,MAT102H5
UMPSY,Intro to Social Psy PSY220H5SLEC0101,Urbszat,Summer,2022,44,45,43,3,3,37,37,4,,4,61,10,PSY220H5
